zcta,total_population,median_household_income
03224,2458,117500.0
03225,3770,97109.0
03226,998,119375.0
03227,1399,141083.0
03229,5976,130216.0
03230,1539,66458.0
03231,80,141875.0
03233,171,116875.0
03234,4896,92623.0
03235,8843,69921.0
03237,2313,107353.0
03238,52,44350.0
03240,1248,72188.0
03241,1115,91528.0
03242,6161,87344.0
03243,924,79750.0
03244,8005,93886.0
03245,1927,83958.0
03246,17006,68407.0
03249,7785,115423.0
03251,1484,65990.0
03253,6677,69808.0
03254,5089,93839.0
03255,1957,123167.0
03256,2473,83804.0
03257,4503,89750.0
03258,2693,111607.0
03259,237,82024.0
03260,908,116375.0
03261,4653,117841.0
03262,1172,72000.0
03263,4094,66823.0
03264,6911,75600.0
03266,2075,66964.0
03268,1469,105000.0
03269,2946,94821.0
03273,277,183525.0
03275,12115,84776.0
03276,9046,79270.0
03278,3024,98333.0
03279,810,61875.0
03280,1188,85250.0
03281,9141,115833.0
03282,1075,105000.0
03284,854,111563.0
03285,2763,81094.0
03287,1424,115469.0
03290,5304,108459.0
03291,0,
03293,68,68125.0
03301,33987,85943.0
03303,16368,79688.0
03304,8295,161482.0
03307,5683,100141.0
03431,25035,78196.0
03440,2622,91094.0
03441,389,
03442,1494,78071.0
03443,421,
03444,1614,100938.0
03445,699,95625.0
03446,6486,82326.0
03447,2317,91076.0
03448,719,70833.0
03449,1806,88958.0
03450,942,98611.0
03451,3987,68979.0
03452,5413,87527.0
03455,2148,74219.0
03456,848,104605.0
03457,720,90417.0
03458,6914,100189.0
03461,6482,102662.0
03462,1760,106417.0
03464,965,91786.0
03465,2034,79375.0
03466,1411,116314.0
03467,2146,98684.0
03470,5038,73250.0
03561,6031,54545.0
03570,9473,43972.0
03574,2545,83870.0
03575,0,
03576,2740,51822.0
03579,407,61429.0
03580,1479,77283.0
03581,3243,61370.0
03582,2218,53059.0
03583,1001,66711.0
03584,3439,92797.0
03585,2537,65769.0
03586,625,137500.0
03588,1674,71667.0
03590,1140,50586.0
03592,972,59000.0
03593,423,95000.0
03595,715,78750.0
03597,553,64688.0
03598,3439,63963.0
03601,407,80577.0
03602,2415,64605.0
03603,5272,55266.0
03604,0,
03605,863,84063.0
03607,315,80694.0
03608,3053,77244.0
03609,618,69943.0
03740,1049,70298.0
03741,4102,78523.0
03743,13673,54978.0
03745,1771,89046.0
03748,4568,96335.0
03750,1139,218750.0
03751,382,38892.0
03752,982,59583.0
03753,3478,113317.0
03755,10563,161162.0
03765,667,
03766,10702,96642.0
03768,1672,141719.0
03770,576,148958.0
03771,807,85217.0
03773,7905,78073.0
03774,1606,53750.0
03777,1289,85938.0
03779,928,93393.0
03780,599,145163.0
03781,1917,104700.0
03782,3104,109185.0
03784,4057,84303.0
03785,2141,56449.0
03801,23231,106520.0
03809,3684,92278.0
03810,2269,143102.0
